timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,28.8500,28.8500,28.3800,28.3800,5659,56
36000,10:00:00,28.3500,28.6400,28.3500,28.6300,20434,293
37800,10:30:00,28.6300,28.6400,28.4900,28.5500,14342,217
39600,11:00:00,28.5700,28.6100,28.4100,28.4100,5933,130
41400,11:30:00,28.4400,28.4600,28.3800,28.3900,7749,106
43200,12:00:00,28.4300,28.6000,28.4200,28.5800,9518,138
45000,12:30:00,28.5800,28.5800,28.4100,28.4300,6425,131
46800,13:00:00,28.4300,28.4400,28.3100,28.3600,9010,167
48600,13:30:00,28.3900,28.5200,28.3000,28.4900,15302,234
50400,14:00:00,28.5200,28.7300,28.4950,28.6000,16809,218
52200,14:30:00,28.6000,28.7400,28.5800,28.6800,18057,230
54000,15:00:00,28.6900,28.7100,28.6100,28.6600,20466,269
55800,15:30:00,28.6500,28.7300,28.5500,28.7300,37753,488
57600,16:00:00,28.7300,28.7300,28.7300,28.7300,62739,1
