timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,9.0300,9.0300,9.0300,9.0300,200,1
35100,09:45:00,9.0000,9.0000,9.0000,9.0000,266,6
36000,10:00:00,8.8800,8.9100,8.8800,8.9100,249,5
41400,11:30:00,8.9900,8.9900,8.9900,8.9900,40,1
43200,12:00:00,9.0000,9.0000,8.9500,8.9500,200,2
44100,12:15:00,9.0200,9.0500,9.0200,9.0500,124,5
45000,12:30:00,9.0400,9.0600,9.0400,9.0600,100,3
45900,12:45:00,9.0000,9.0000,9.0000,9.0000,100,1
47700,13:15:00,8.9200,8.9200,8.9200,8.9200,60,1
50400,14:00:00,8.9600,9.0600,8.9600,9.0600,136,6
51300,14:15:00,8.9600,9.0600,8.9500,9.0600,246,5
53100,14:45:00,9.0500,9.1200,9.0500,9.0600,2856,17
54000,15:00:00,9.0600,9.0800,9.0600,9.0800,291,5
54900,15:15:00,9.1200,9.1200,9.1100,9.1100,19,2
55800,15:30:00,9.0900,9.0900,9.0200,9.0200,23,5
56700,15:45:00,9.0000,9.0200,8.9600,9.0100,209,7
57600,16:00:00,9.0100,9.0100,9.0100,9.0100,129,1
