timestamp,time,open,high,low,close,volume,trades
33540,09:19:00,0.7391,0.7391,0.7391,0.7391,400,1
34200,09:30:00,0.7550,0.7550,0.7550,0.7550,700,2
34620,09:37:00,0.7550,0.7550,0.7550,0.7550,18,1
34680,09:38:00,0.7600,0.7600,0.7600,0.7600,100,1
34740,09:39:00,0.7621,0.7621,0.7621,0.7621,62,1
35040,09:44:00,0.7500,0.7500,0.7454,0.7454,1300,2
35520,09:52:00,0.7430,0.7430,0.7391,0.7391,2200,4
35580,09:53:00,0.7400,0.7400,0.7400,0.7400,100,1
36120,10:02:00,0.7400,0.7400,0.7400,0.7400,100,1
40500,11:15:00,0.7439,0.7439,0.7439,0.7439,30,1
41040,11:24:00,0.7425,0.7425,0.7425,0.7425,100,1
42360,11:46:00,0.7411,0.7411,0.7411,0.7411,2,1
42840,11:54:00,0.7432,0.7432,0.7432,0.7432,100,1
45180,12:33:00,0.7444,0.7444,0.7444,0.7444,100,1
45780,12:43:00,0.7444,0.7444,0.7444,0.7444,100,1
46020,12:47:00,0.7444,0.7444,0.7444,0.7444,100,1
46140,12:49:00,0.7444,0.7444,0.7444,0.7444,100,1
46980,13:03:00,0.7444,0.7444,0.7444,0.7444,700,1
47820,13:17:00,0.7507,0.7507,0.7507,0.7507,100,1
49560,13:46:00,0.7500,0.7500,0.7498,0.7498,1500,2
51360,14:16:00,0.7552,0.7552,0.7552,0.7552,900,1
51720,14:22:00,0.7514,0.7514,0.7514,0.7514,100,1
51780,14:23:00,0.7550,0.7550,0.7550,0.7550,1200,2
52680,14:38:00,0.7600,0.7600,0.7600,0.7600,1325,3
52980,14:43:00,0.7600,0.7600,0.7600,0.7600,1325,2
53160,14:46:00,0.7676,0.7676,0.7676,0.7676,200,1
53700,14:55:00,0.7615,0.7615,0.7615,0.7615,4700,9
53940,14:59:00,0.7603,0.7619,0.7603,0.7619,300,3
54120,15:02:00,0.7625,0.7689,0.7625,0.7689,104,2
54180,15:03:00,0.7692,0.7692,0.7692,0.7692,100,1
55020,15:17:00,0.7642,0.7642,0.7642,0.7642,200,2
55200,15:20:00,0.7642,0.7642,0.7640,0.7640,334,4
55800,15:30:00,0.7616,0.7616,0.7616,0.7616,5900,1
56100,15:35:00,0.7670,0.7670,0.7670,0.7670,100,1
56160,15:36:00,0.7650,0.7650,0.7650,0.7650,200,2
56520,15:42:00,0.7680,0.7680,0.7680,0.7680,8,1
56640,15:44:00,0.7700,0.7737,0.7700,0.7737,920,3
56880,15:48:00,0.7737,0.7737,0.7737,0.7737,100,1
57000,15:50:00,0.7737,0.7737,0.7737,0.7737,320,2
57300,15:55:00,0.7701,0.7701,0.7700,0.7700,500,5
