timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,10.9200,10.9600,10.9200,10.9600,1208,11
36000,10:00:00,10.9600,10.9600,10.9200,10.9200,800,6
37800,10:30:00,10.9000,10.9000,10.9000,10.9000,100,1
39600,11:00:00,10.9200,10.9200,10.9200,10.9200,100,1
41400,11:30:00,10.9500,10.9500,10.9300,10.9300,106,2
43200,12:00:00,10.9200,10.9300,10.9100,10.9200,523,4
45000,12:30:00,10.8900,10.8900,10.8900,10.8900,400,4
46800,13:00:00,10.8800,10.8800,10.8400,10.8500,419,6
48600,13:30:00,10.8700,10.8700,10.8600,10.8600,510,6
50400,14:00:00,10.8700,10.9600,10.8700,10.9600,1656,9
52200,14:30:00,10.9900,10.9900,10.9800,10.9900,900,6
54000,15:00:00,10.9800,10.9900,10.9800,10.9900,645,6
55800,15:30:00,10.9900,10.9900,10.9800,10.9800,3653,25
