timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,7.5700,7.5700,7.5700,7.5700,236,2
36000,10:00:00,7.5500,7.5600,7.5400,7.5600,354,8
37800,10:30:00,7.5800,7.5900,7.5800,7.5900,10,2
39600,11:00:00,7.5900,7.6200,7.5900,7.5900,631,12
41400,11:30:00,7.5900,7.5900,7.5800,7.5800,50,2
43200,12:00:00,7.5900,7.6200,7.5800,7.6200,990,13
45000,12:30:00,7.6000,7.6000,7.5600,7.5700,375,11
46800,13:00:00,7.5700,7.5800,7.5700,7.5800,171,4
48600,13:30:00,7.5400,7.5700,7.5400,7.5600,608,15
50400,14:00:00,7.5800,7.6100,7.5700,7.6000,259,9
52200,14:30:00,7.5900,7.6400,7.5900,7.6400,346,20
54000,15:00:00,7.6200,7.6400,7.5900,7.6300,958,27
55800,15:30:00,7.6400,7.6400,7.6000,7.6200,1082,71
57600,16:00:00,7.6150,7.6150,7.6150,7.6150,15060,1
