timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,4.1800,4.2400,4.1800,4.2400,10300,4
34320,09:32:00,4.1900,4.1900,4.1900,4.1900,1100,6
34380,09:33:00,4.1900,4.1900,4.1900,4.1900,348,3
34620,09:37:00,4.1900,4.1900,4.1900,4.1900,352,6
34680,09:38:00,4.1900,4.1900,4.1900,4.1900,452,4
34800,09:40:00,4.1900,4.1900,4.1900,4.1900,890,7
34860,09:41:00,4.1900,4.1900,4.1900,4.1900,8358,6
35040,09:44:00,4.2000,4.2100,4.2000,4.2100,6800,8
35100,09:45:00,4.2000,4.2200,4.2000,4.2200,415,3
35160,09:46:00,4.2000,4.2000,4.2000,4.2000,974,7
35280,09:48:00,4.2300,4.2300,4.2100,4.2100,400,4
35340,09:49:00,4.2200,4.2200,4.2200,4.2200,200,2
35400,09:50:00,4.2300,4.2300,4.2300,4.2300,100,1
35520,09:52:00,4.2500,4.2500,4.2500,4.2500,8189,25
35580,09:53:00,4.2500,4.2600,4.2500,4.2500,4201,15
35640,09:54:00,4.2400,4.2400,4.2400,4.2400,300,2
36000,10:00:00,4.2400,4.2400,4.2350,4.2350,200,3
36120,10:02:00,4.2400,4.2400,4.2400,4.2400,214,2
36300,10:05:00,4.2400,4.2400,4.2400,4.2400,100,1
36600,10:10:00,4.2400,4.2400,4.2100,4.2250,4665,24
36720,10:12:00,4.2300,4.2300,4.2300,4.2300,500,4
37260,10:21:00,4.2300,4.2300,4.2200,4.2250,620,7
37500,10:25:00,4.2300,4.2300,4.2300,4.2300,300,1
37560,10:26:00,4.2300,4.2400,4.2300,4.2350,500,4
38400,10:40:00,4.2400,4.2400,4.2400,4.2400,4,1
38460,10:41:00,4.2400,4.2400,4.2400,4.2400,4996,4
38820,10:47:00,4.2500,4.2500,4.2500,4.2500,200,2
39000,10:50:00,4.2450,4.2450,4.2400,4.2400,500,5
39300,10:55:00,4.2450,4.2450,4.2400,4.2400,3787,14
39360,10:56:00,4.2400,4.2400,4.2400,4.2400,400,2
39600,11:00:00,4.2400,4.2400,4.2400,4.2400,12297,9
39660,11:01:00,4.2400,4.2400,4.2400,4.2400,1100,2
39780,11:03:00,4.2400,4.2400,4.2400,4.2400,3500,3
39840,11:04:00,4.2400,4.2400,4.2400,4.2400,100,1
39960,11:06:00,4.2400,4.2400,4.2400,4.2400,1119,4
40260,11:11:00,4.2400,4.2400,4.2400,4.2400,200,2
40440,11:14:00,4.2400,4.2400,4.2400,4.2400,500,2
40500,11:15:00,4.2400,4.2400,4.2400,4.2400,800,3
40740,11:19:00,4.2400,4.2400,4.2400,4.2400,895,3
40800,11:20:00,4.2400,4.2400,4.2300,4.2300,625,5
40860,11:21:00,4.2250,4.2250,4.2250,4.2250,200,2
40980,11:23:00,4.2200,4.2200,4.2100,4.2100,500,2
41040,11:24:00,4.2200,4.2200,4.2200,4.2200,100,1
41640,11:34:00,4.2200,4.2200,4.2200,4.2200,100,1
41760,11:36:00,4.2200,4.2200,4.2200,4.2200,200,2
42540,11:49:00,4.2250,4.2300,4.2250,4.2300,400,3
43440,12:04:00,4.2250,4.2250,4.2200,4.2200,1300,4
43500,12:05:00,4.2200,4.2200,4.2200,4.2200,800,5
43740,12:09:00,4.2200,4.2200,4.2200,4.2200,300,3
43860,12:11:00,4.2150,4.2150,4.2150,4.2150,100,1
46500,12:55:00,4.2100,4.2100,4.2100,4.2100,66,1
46560,12:56:00,4.2150,4.2150,4.2150,4.2150,200,2
47700,13:15:00,4.2200,4.2250,4.2200,4.2250,1100,6
48660,13:31:00,4.2300,4.2300,4.2300,4.2300,47,1
48720,13:32:00,4.2300,4.2300,4.2300,4.2300,553,4
49020,13:37:00,4.2400,4.2400,4.2400,4.2400,2507,14
49080,13:38:00,4.2400,4.2400,4.2400,4.2400,701,4
49200,13:40:00,4.2400,4.2450,4.2400,4.2450,591,3
49500,13:45:00,4.2400,4.2400,4.2400,4.2400,751,3
49680,13:48:00,4.2350,4.2350,4.2350,4.2350,200,2
50460,14:01:00,4.2350,4.2400,4.2350,4.2400,447,3
50580,14:03:00,4.2400,4.2450,4.2400,4.2450,531,9
52800,14:40:00,4.2500,4.2550,4.2500,4.2550,6845,15
52860,14:41:00,4.2600,4.2600,4.2600,4.2600,117,3
52920,14:42:00,4.2600,4.2800,4.2600,4.2800,1714,12
53100,14:45:00,4.2800,4.2800,4.2800,4.2800,700,7
53160,14:46:00,4.2900,4.2900,4.2900,4.2900,62,1
53280,14:48:00,4.2900,4.2900,4.2900,4.2900,2600,4
53400,14:50:00,4.3000,4.3100,4.3000,4.3100,8505,22
53460,14:51:00,4.3100,4.3100,4.3100,4.3100,800,5
53520,14:52:00,4.3200,4.3200,4.3200,4.3200,1110,13
53640,14:54:00,4.3300,4.3300,4.3300,4.3300,700,6
53880,14:58:00,4.3400,4.3400,4.3400,4.3400,154,1
54000,15:00:00,4.3300,4.3300,4.3300,4.3300,3751,23
54060,15:01:00,4.3300,4.3300,4.3300,4.3300,318,4
54420,15:07:00,4.3300,4.3300,4.3300,4.3300,1824,15
54540,15:09:00,4.3300,4.3300,4.3300,4.3300,200,1
54600,15:10:00,4.3300,4.3300,4.3300,4.3300,600,3
54660,15:11:00,4.3300,4.3300,4.3300,4.3300,100,1
54780,15:13:00,4.3300,4.3400,4.3300,4.3400,1916,10
54840,15:14:00,4.3300,4.3300,4.3300,4.3300,200,2
54900,15:15:00,4.3350,4.3350,4.3350,4.3350,100,1
54960,15:16:00,4.3400,4.3400,4.3400,4.3400,900,6
55080,15:18:00,4.3500,4.3500,4.3500,4.3500,600,3
55140,15:19:00,4.3500,4.3500,4.3500,4.3500,200,1
55200,15:20:00,4.3500,4.3500,4.3500,4.3500,100,1
55260,15:21:00,4.3500,4.3500,4.3500,4.3500,2943,10
55440,15:24:00,4.3500,4.3500,4.3500,4.3500,400,4
55680,15:28:00,4.3600,4.3600,4.3600,4.3600,1900,14
55740,15:29:00,4.3700,4.3700,4.3700,4.3700,450,4
55800,15:30:00,4.3700,4.3700,4.3700,4.3700,1251,7
55920,15:32:00,4.3700,4.4000,4.3700,4.4000,14867,57
55980,15:33:00,4.4000,4.4000,4.4000,4.4000,400,2
56040,15:34:00,4.4100,4.4100,4.4100,4.4100,400,3
56100,15:35:00,4.4200,4.4200,4.4200,4.4200,1500,11
56160,15:36:00,4.4300,4.4300,4.4300,4.4300,500,4
56280,15:38:00,4.4300,4.4300,4.4300,4.4300,334,3
56340,15:39:00,4.4300,4.4400,4.4300,4.4400,1033,9
56400,15:40:00,4.4400,4.4400,4.4400,4.4400,2133,17
56460,15:41:00,4.4400,4.4400,4.4300,4.4300,775,8
56520,15:42:00,4.4300,4.4300,4.4300,4.4300,500,6
56700,15:45:00,4.4350,4.4350,4.4350,4.4350,100,1
56760,15:46:00,4.4350,4.4350,4.4300,4.4300,1225,10
56940,15:49:00,4.4250,4.4250,4.4250,4.4250,100,1
57060,15:51:00,4.4300,4.4350,4.4300,4.4300,1332,11
57180,15:53:00,4.4300,4.4350,4.4300,4.4300,900,10
57300,15:55:00,4.4300,4.4300,4.4300,4.4300,1800,2
57360,15:56:00,4.4300,4.4350,4.4300,4.4300,1900,10
57540,15:59:00,4.4400,4.4400,4.4350,4.4400,6469,42
57600,16:00:00,4.4400,4.4400,4.4400,4.4400,9392,3
