timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,3.7200,3.7200,3.5900,3.5900,21696,39
36000,10:00:00,3.6300,3.7100,3.6200,3.7100,7789,37
37800,10:30:00,3.7100,3.7100,3.6500,3.6500,8245,29
39600,11:00:00,3.6450,3.6500,3.4800,3.4800,11786,32
41400,11:30:00,3.5400,3.6500,3.5300,3.6500,2116,18
43200,12:00:00,3.6500,3.6700,3.6300,3.6700,3784,9
45000,12:30:00,3.6500,3.6500,3.5700,3.5700,2329,6
46800,13:00:00,3.6000,3.6000,3.5800,3.5800,800,6
48600,13:30:00,3.6000,3.6000,3.5800,3.5900,5600,16
50400,14:00:00,3.6000,3.6500,3.6000,3.6500,2217,4
52200,14:30:00,3.6500,3.6700,3.6400,3.6600,1273,6
54000,15:00:00,3.6400,3.6450,3.6400,3.6400,300,3
55800,15:30:00,3.6400,3.6400,3.4700,3.4700,10370,65
57600,16:00:00,3.4700,3.4700,3.4700,3.4700,1690,1
