timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,25.1400,25.1800,25.0100,25.1800,1505,9
36000,10:00:00,25.0800,25.1400,25.0800,25.1400,300,2
37800,10:30:00,25.1400,25.1500,25.1400,25.1500,1000,7
39600,11:00:00,25.1500,25.1700,25.1500,25.1700,1900,11
43200,12:00:00,25.1800,25.1800,25.1700,25.1700,1917,5
45000,12:30:00,25.1800,25.1800,25.1800,25.1800,453,2
50400,14:00:00,25.1800,25.2300,25.1800,25.2300,1091,10
52200,14:30:00,25.2200,25.2200,25.2200,25.2200,200,2
54000,15:00:00,25.2400,25.2400,25.2400,25.2400,1951,7
55800,15:30:00,25.2400,25.2400,25.0900,25.0900,3097,13
57600,16:00:00,25.0700,25.0700,25.0700,25.0700,480,2
