timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,9.1500,9.2400,9.1000,9.2200,11395,60
36000,10:00:00,9.1900,9.2500,9.1900,9.2200,4473,55
37800,10:30:00,9.2000,9.2700,9.1900,9.2200,6969,73
39600,11:00:00,9.2600,9.2700,9.2100,9.2400,6709,63
41400,11:30:00,9.2300,9.2600,9.2000,9.2600,6708,68
43200,12:00:00,9.2500,9.3100,9.2300,9.3100,6221,56
45000,12:30:00,9.3200,9.3700,9.3000,9.3300,15164,95
46800,13:00:00,9.3400,9.3800,9.3400,9.3700,4049,33
48600,13:30:00,9.3750,9.3800,9.3700,9.3700,4513,43
50400,14:00:00,9.3700,9.5000,9.3700,9.5000,29632,254
52200,14:30:00,9.4900,9.5200,9.4800,9.4900,20800,180
54000,15:00:00,9.5100,9.5200,9.3700,9.4000,25389,274
55800,15:30:00,9.4000,9.6300,9.4000,9.5100,42065,387
57600,16:00:00,9.5000,9.7400,9.5000,9.7400,28027,2
