timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,40.5000,40.9200,39.7900,39.7900,8173,72
36000,10:00:00,39.6500,40.3200,39.5500,39.5900,1896,35
37800,10:30:00,39.5500,39.5950,38.7900,38.7900,6894,108
39600,11:00:00,38.8500,39.2500,38.7800,39.2500,3083,58
41400,11:30:00,39.1900,39.4800,39.0400,39.4100,1701,40
43200,12:00:00,39.3200,39.6000,39.2500,39.5900,1502,35
45000,12:30:00,39.5200,39.5900,39.3300,39.4000,1043,48
46800,13:00:00,39.3700,39.6300,39.3700,39.5100,1396,38
48600,13:30:00,39.5100,39.5200,39.2800,39.2800,2043,46
50400,14:00:00,39.3400,40.0200,39.3400,40.0100,8282,121
52200,14:30:00,40.0200,40.5200,39.9100,40.5100,5139,84
54000,15:00:00,40.5200,40.5200,40.1200,40.1200,2651,68
55800,15:30:00,40.1400,40.2300,39.8100,39.8700,13798,186
57600,16:00:00,39.8600,39.8600,39.8600,39.8600,7087,1
63000,17:30:00,38.5000,38.5000,38.4100,38.4100,224,3
