timestamp,time,open,high,low,close,volume,trades
36000,10:00:00,9.6600,9.7200,9.6500,9.7200,361,4
37800,10:30:00,9.7800,9.8600,9.7800,9.8600,7502,14
39600,11:00:00,9.8600,9.8700,9.7500,9.7500,1911,12
41400,11:30:00,9.7300,9.7700,9.7300,9.7700,700,8
43200,12:00:00,9.8100,9.8100,9.6900,9.6900,728,10
45000,12:30:00,9.7100,9.7100,9.7000,9.7000,300,3
46800,13:00:00,9.6900,9.7100,9.6800,9.7000,301,4
48600,13:30:00,9.6800,9.6900,9.6800,9.6900,283,4
50400,14:00:00,9.7000,9.7200,9.6900,9.6900,1710,11
52200,14:30:00,9.6900,9.7100,9.6900,9.7000,711,8
54000,15:00:00,9.6800,9.6800,9.6600,9.6600,467,6
55800,15:30:00,9.6600,9.7000,9.6600,9.7000,1733,33
