timestamp,time,open,high,low,close,volume,trades
32400,09:00:00,21.2000,22.1000,21.2000,22.1000,260,5
34200,09:30:00,21.4000,21.5900,20.9700,21.0700,110137,804
36000,10:00:00,21.0900,21.2300,20.9100,21.0300,110929,1168
37800,10:30:00,21.0300,21.3800,21.0200,21.2100,134217,1183
39600,11:00:00,21.2100,21.5600,21.2000,21.5300,78294,648
41400,11:30:00,21.5300,21.8600,21.5100,21.8200,60989,548
43200,12:00:00,21.8200,22.0000,21.7750,21.9700,56187,532
45000,12:30:00,21.9650,22.0100,21.7500,21.8600,64349,592
46800,13:00:00,21.8600,21.9600,21.5800,21.5800,49862,496
48600,13:30:00,21.5700,21.8700,21.5600,21.8300,54748,549
50400,14:00:00,21.8300,22.1600,21.8000,21.9000,56801,551
52200,14:30:00,21.8900,22.0300,21.8700,22.0000,58781,620
54000,15:00:00,22.0000,22.1700,21.8800,22.1400,78864,761
55800,15:30:00,22.1300,22.4100,22.0400,22.2500,272236,2030
57600,16:00:00,22.2500,22.8500,22.2500,22.8500,205948,8
