timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,141.1500,141.1500,140.8100,140.8100,33,3
36000,10:00:00,140.5600,140.5600,140.5600,140.5600,100,1
37800,10:30:00,140.8700,140.8700,140.8700,140.8700,9,1
39600,11:00:00,141.0200,141.1800,141.0200,141.1600,3053,12
41400,11:30:00,141.4000,141.4600,141.4000,141.4600,218,2
43200,12:00:00,141.6500,141.7200,141.6500,141.7000,566,5
45000,12:30:00,141.7000,141.7000,141.3500,141.3500,1406,15
46800,13:00:00,141.3700,141.4400,141.2900,141.3500,2600,22
48600,13:30:00,141.3400,141.4100,141.1700,141.2900,2661,29
50400,14:00:00,141.2000,142.7600,141.1600,142.4600,9231,50
52200,14:30:00,142.3600,142.9800,142.2700,142.9400,1729,17
54000,15:00:00,142.8900,142.8900,142.3100,142.3400,6280,52
55800,15:30:00,142.2400,142.3600,142.1000,142.3200,7861,78
