timestamp,time,open,high,low,close,volume,trades
32400,09:00:00,9.6200,9.6200,9.6200,9.6200,100,1
36000,10:00:00,9.5800,9.5800,9.5700,9.5700,400,4
37800,10:30:00,9.5900,9.5900,9.5900,9.5900,357,4
41400,11:30:00,9.5900,9.5900,9.5900,9.5900,100,1
43200,12:00:00,9.5900,9.5900,9.5800,9.5800,334,3
45000,12:30:00,9.5700,9.5700,9.5700,9.5700,100,1
48600,13:30:00,9.5600,9.5600,9.5500,9.5500,2200,7
50400,14:00:00,9.5500,9.5600,9.5500,9.5600,2200,7
52200,14:30:00,9.5650,9.6050,9.5650,9.6050,11900,20
54000,15:00:00,9.6100,9.6100,9.6050,9.6100,800,6
55800,15:30:00,9.6150,9.6150,9.6150,9.6150,1146,5
