timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,31.6400,31.6900,31.6200,31.6600,6044,13
36000,10:00:00,31.6800,31.8400,31.6800,31.8400,1113,6
37800,10:30:00,31.9300,32.0000,31.9300,31.9900,313,4
39600,11:00:00,31.9700,31.9700,31.9100,31.9100,1996,12
43200,12:00:00,32.0000,32.0000,32.0000,32.0000,110,1
45000,12:30:00,31.9500,31.9500,31.9500,31.9500,18,1
46800,13:00:00,31.9100,31.9100,31.8900,31.8900,2217,9
48600,13:30:00,31.8300,31.8300,31.8200,31.8200,688,4
50400,14:00:00,31.8300,32.0100,31.8300,31.9600,1220,12
52200,14:30:00,31.9000,31.9700,31.9000,31.9700,513,8
54000,15:00:00,31.9300,31.9300,31.8600,31.9200,546,6
55800,15:30:00,31.8300,31.8500,31.7700,31.8500,1043,17
57600,16:00:00,31.8200,31.8200,31.8200,31.8200,278,1
