timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,74.3500,74.6600,74.1400,74.2800,3744,31
36000,10:00:00,74.1700,74.4100,74.0400,74.4100,3657,46
37800,10:30:00,74.4300,74.6800,74.4300,74.4900,3253,47
39600,11:00:00,74.5000,74.5150,74.3900,74.4400,1981,41
41400,11:30:00,74.3800,74.5500,74.3600,74.4000,1393,30
43200,12:00:00,74.4700,74.6200,74.4700,74.5600,2287,54
45000,12:30:00,74.6100,74.6100,74.4700,74.5600,1347,40
46800,13:00:00,74.4800,74.5200,74.2800,74.3400,1900,63
48600,13:30:00,74.2600,74.2600,73.9300,74.0500,2499,86
50400,14:00:00,74.0000,74.4900,73.9800,74.3100,5280,93
52200,14:30:00,74.3800,74.5500,74.0900,74.5500,4563,149
54000,15:00:00,74.5300,74.5300,73.9800,73.9800,10227,185
55800,15:30:00,73.9500,74.1400,73.8400,73.9600,27323,418
57600,16:00:00,74.0000,74.0000,74.0000,74.0000,23045,1
