timestamp,time,open,high,low,close,volume,trades
34320,09:32:00,228.0400,228.0400,227.8300,227.8300,219,4
34860,09:41:00,226.1600,226.1700,226.1600,226.1700,400,4
34980,09:43:00,226.5000,226.5000,226.3200,226.5000,302,7
35040,09:44:00,226.1100,226.1100,226.1100,226.1100,10,2
35280,09:48:00,225.9100,225.9500,225.6200,225.6200,236,4
35340,09:49:00,225.4800,225.4800,225.4800,225.4800,1,1
35400,09:50:00,225.5600,225.5600,225.5600,225.5600,314,5
35520,09:52:00,225.2600,225.2600,225.2600,225.2600,13,1
35580,09:53:00,225.1900,225.1900,225.1800,225.1800,24,2
35700,09:55:00,225.3150,225.4800,225.3150,225.4800,223,3
35760,09:56:00,225.1000,225.1000,225.0700,225.0700,41,3
35820,09:57:00,225.1000,225.1000,225.1000,225.1000,100,1
36000,10:00:00,225.9550,225.9550,225.0800,225.0800,430,9
36060,10:01:00,225.0800,225.1200,225.0600,225.0600,208,9
36120,10:02:00,224.8700,224.9700,224.4000,224.4000,261,10
36240,10:04:00,224.4000,224.9500,224.4000,224.9500,231,4
36420,10:07:00,224.8900,224.8900,224.8800,224.8800,48,3
36480,10:08:00,224.4750,224.4750,224.0900,224.0900,124,3
36600,10:10:00,224.3200,224.3200,224.1200,224.1200,184,7
36840,10:14:00,225.2400,225.2400,224.8550,224.8550,162,7
37020,10:17:00,224.9700,224.9700,224.7500,224.7500,145,8
37980,10:33:00,225.7200,225.7400,225.7100,225.7100,200,7
38040,10:34:00,225.5900,225.5900,225.5900,225.5900,127,3
38100,10:35:00,225.4500,225.4500,225.4500,225.4500,23,1
38160,10:36:00,225.4000,225.4000,225.4000,225.4000,5,1
38340,10:39:00,225.5500,225.5500,225.5500,225.5500,300,3
38400,10:40:00,225.6400,225.6400,225.6300,225.6300,31,3
38460,10:41:00,225.4900,225.4900,225.0400,225.0400,134,8
38580,10:43:00,224.9900,224.9900,224.9900,224.9900,98,1
38760,10:46:00,225.3700,225.3700,225.3700,225.3700,13,1
38820,10:47:00,225.4700,225.4700,225.4600,225.4600,8,2
38880,10:48:00,225.3100,225.3100,225.3100,225.3100,28,2
39180,10:53:00,225.2100,225.2200,225.0650,225.1800,261,16
39240,10:54:00,225.0200,225.1800,225.0200,225.1800,1285,11
39420,10:57:00,224.8800,224.8800,224.7300,224.7300,228,10
39480,10:58:00,224.8200,224.8200,224.8200,224.8200,1,1
39540,10:59:00,224.4400,224.4400,224.4400,224.4400,5,1
39660,11:01:00,225.0000,225.0000,225.0000,225.0000,100,1
39780,11:03:00,224.8600,224.8700,224.8600,224.8600,138,6
40200,11:10:00,224.9400,224.9400,224.9000,224.9000,141,6
40260,11:11:00,224.8100,224.8100,224.6700,224.6700,400,6
40380,11:13:00,224.7600,224.7600,224.5700,224.5700,106,3
40440,11:14:00,224.8900,224.8900,224.8900,224.8900,2,1
40500,11:15:00,224.8100,224.8100,224.7400,224.7400,265,10
40620,11:17:00,224.8200,224.8200,224.7300,224.7300,202,4
40680,11:18:00,224.9800,224.9800,224.9800,224.9800,100,1
40740,11:19:00,224.9800,224.9800,224.9000,224.9000,430,4
40860,11:21:00,224.9000,224.9000,224.9000,224.9000,181,4
40920,11:22:00,224.9000,224.9500,224.8800,224.9500,135,5
40980,11:23:00,224.8800,224.8800,224.8800,224.8800,102,2
41100,11:25:00,224.8800,224.8800,224.8700,224.8700,120,2
41160,11:26:00,224.9600,224.9600,224.9600,224.9600,100,1
41280,11:28:00,224.8000,224.8000,224.7900,224.7900,44,6
41580,11:33:00,225.0000,225.0000,225.0000,225.0000,100,1
41760,11:36:00,225.0000,225.0000,224.7900,224.7900,414,6
41880,11:38:00,224.8000,224.8000,224.8000,224.8000,100,1
42120,11:42:00,225.0600,225.0600,224.8700,224.8700,121,5
42360,11:46:00,225.1300,225.1300,225.0250,225.0250,105,2
42420,11:47:00,225.0000,225.0000,225.0000,225.0000,72,2
42660,11:51:00,224.9800,224.9800,224.9700,224.9700,108,2
42720,11:52:00,224.9900,224.9900,224.9500,224.9500,268,8
42960,11:56:00,224.7800,224.7800,224.7000,224.7000,535,8
43140,11:59:00,224.8100,224.8100,224.8100,224.8100,100,1
43380,12:03:00,224.8200,224.9300,224.8200,224.9200,246,4
43740,12:09:00,224.9800,224.9800,224.9800,224.9800,8,1
43920,12:12:00,224.8700,224.8700,224.8400,224.8400,425,5
44220,12:17:00,225.0700,225.0700,224.9800,224.9800,300,3
44280,12:18:00,224.9000,224.9000,224.6700,224.6700,222,5
44400,12:20:00,224.6900,224.6900,224.6900,224.6900,100,1
44640,12:24:00,224.7000,224.7000,224.7000,224.7000,100,1
44880,12:28:00,224.6900,224.6900,224.3700,224.3700,226,26
44940,12:29:00,224.5700,224.5700,224.3200,224.3200,364,9
45060,12:31:00,224.3100,224.3100,224.0000,224.0000,218,16
45300,12:35:00,223.9900,223.9900,223.9600,223.9600,2,2
45360,12:36:00,223.9500,223.9500,223.9100,223.9100,71,6
45420,12:37:00,223.9200,223.9200,223.7200,223.7200,193,24
45480,12:38:00,223.7200,223.7200,223.7200,223.7200,100,1
45600,12:40:00,223.7400,223.7400,223.7300,223.7300,13,2
45660,12:41:00,223.7800,223.8200,223.5600,223.5600,719,25
45720,12:42:00,223.5400,223.5400,223.4400,223.4400,100,9
45840,12:44:00,223.5200,223.5200,223.5000,223.5000,157,2
46020,12:47:00,223.5300,223.5300,223.5300,223.5300,100,1
46080,12:48:00,223.6300,223.8500,223.6300,223.8500,200,2
46380,12:53:00,223.5700,223.5700,223.5600,223.5600,100,3
46500,12:55:00,223.5700,223.5700,223.2800,223.2800,364,26
46920,13:02:00,223.5250,223.5250,223.5250,223.5250,15,1
47100,13:05:00,223.3600,223.3600,223.3500,223.3500,193,3
47520,13:12:00,223.4800,223.4800,223.4800,223.4800,4,1
47580,13:13:00,223.4800,223.4800,223.4700,223.4700,302,7
47640,13:14:00,223.3500,223.5200,223.3500,223.5200,9,2
47700,13:15:00,223.6900,223.6900,223.6900,223.6900,100,1
47940,13:19:00,223.4800,223.4800,223.4800,223.4800,66,2
48000,13:20:00,223.5800,223.5800,223.4400,223.4400,167,10
48060,13:21:00,223.6000,223.6300,223.5500,223.6300,520,13
48120,13:22:00,223.5400,223.5400,223.4700,223.4700,108,4
48180,13:23:00,223.6300,223.6300,223.6300,223.6300,13,1
48360,13:26:00,223.6400,223.6600,223.6200,223.6200,330,10
48420,13:27:00,223.6000,223.6000,223.6000,223.6000,201,4
48780,13:33:00,223.6500,223.6500,223.6500,223.6500,100,1
48840,13:34:00,223.5400,223.5500,223.5300,223.5300,304,5
49380,13:43:00,223.4100,223.4100,223.3700,223.3700,206,3
49440,13:44:00,223.3000,223.3900,223.3000,223.3900,117,3
49500,13:45:00,223.3000,223.3000,223.2600,223.2600,101,2
49560,13:46:00,223.2000,223.2000,223.2000,223.2000,95,1
49620,13:47:00,223.2200,223.2200,223.2000,223.2000,9,2
49680,13:48:00,223.2550,223.2550,223.2550,223.2550,1,1
49800,13:50:00,223.2000,223.2000,223.1300,223.1300,9,2
49920,13:52:00,223.1300,223.1700,223.1300,223.1700,101,3
49980,13:53:00,223.1100,223.1100,223.1100,223.1100,100,1
50100,13:55:00,223.0200,223.0950,223.0200,223.0950,146,4
50220,13:57:00,223.1700,223.3000,223.1700,223.3000,414,6
50280,13:58:00,223.5000,223.6000,223.5000,223.6000,250,4
50340,13:59:00,223.6100,223.6100,223.6100,223.6100,200,3
50400,14:00:00,223.6400,223.6400,223.6400,223.6400,133,2
50580,14:03:00,224.6200,224.6200,224.6200,224.6200,7,1
50640,14:04:00,224.2400,225.1200,224.2400,225.1200,200,2
50700,14:05:00,225.1200,225.1200,225.1200,225.1200,100,1
50760,14:06:00,225.3300,225.3300,225.2500,225.2500,255,9
50820,14:07:00,225.4800,225.4800,225.4800,225.4800,100,1
50880,14:08:00,225.5100,225.5100,225.5100,225.5100,50,1
50940,14:09:00,225.5100,225.5800,224.8700,224.8700,302,6
51000,14:10:00,225.0600,225.0600,225.0500,225.0500,398,8
51060,14:11:00,225.1900,225.2300,225.1900,225.2300,177,2
