timestamp,time,open,high,low,close,volume,trades
32400,09:00:00,45.2600,45.2600,45.0100,45.0100,215,2
34200,09:30:00,44.9500,44.9500,44.3800,44.3900,77233,912
36000,10:00:00,44.3800,44.5300,44.3600,44.4450,45363,591
37800,10:30:00,44.4500,44.5900,44.4400,44.5800,52473,538
39600,11:00:00,44.5800,44.9100,44.5800,44.9000,53110,582
41400,11:30:00,44.8900,45.0200,44.8400,44.9800,31693,414
43200,12:00:00,44.9800,45.0600,44.9500,45.0200,23911,319
45000,12:30:00,45.0300,45.0300,44.9700,44.9900,20930,312
46800,13:00:00,44.9800,45.0300,44.9300,44.9600,18884,255
48600,13:30:00,44.9600,45.0200,44.9400,45.0100,18149,264
50400,14:00:00,44.9900,45.4100,44.9500,45.2700,105924,1246
52200,14:30:00,45.2800,45.4800,45.1900,45.4700,104204,1244
54000,15:00:00,45.4600,45.4600,45.2300,45.2400,73696,772
55800,15:30:00,45.2400,45.2800,45.0600,45.2200,125962,1211
57600,16:00:00,45.2100,45.2100,45.2100,45.2100,200,3
