timestamp,time,open,high,low,close,volume,trades
25200,07:00:00,29.3000,29.3000,29.3000,29.3000,17,1
28800,08:00:00,29.3500,29.3500,29.3500,29.3500,300,2
32400,09:00:00,29.5000,29.8400,29.3900,29.6000,149218,715
36000,10:00:00,29.6100,29.7700,29.2200,29.2400,156144,1665
39600,11:00:00,29.2500,29.3700,29.0800,29.3300,150691,1475
43200,12:00:00,29.3500,29.4400,29.2100,29.4000,100265,935
46800,13:00:00,29.4000,29.5150,29.3900,29.4500,52923,608
50400,14:00:00,29.4500,29.9650,29.4400,29.9000,137892,1384
54000,15:00:00,29.8900,29.9200,29.6600,29.7700,160780,1503
57600,16:00:00,29.7500,29.9500,29.7500,29.9500,93451,8
64800,18:00:00,29.8000,29.9900,29.8000,29.9900,1735,6
68400,19:00:00,30.0000,30.0000,29.9800,29.9800,620,5
