timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,119.7600,119.7600,119.6500,119.6500,115,4
37800,10:30:00,120.0000,120.0000,120.0000,120.0000,100,1
39600,11:00:00,119.1000,119.1000,118.7100,118.7100,79,3
41400,11:30:00,118.7100,118.7100,118.7100,118.7100,7,1
45000,12:30:00,119.5000,119.6900,119.5000,119.6900,201,4
46800,13:00:00,119.7900,119.7900,119.7900,119.7900,135,2
48600,13:30:00,119.7000,119.9300,119.7000,119.9300,100,4
50400,14:00:00,119.7000,120.0000,119.7000,120.0000,133,3
52200,14:30:00,119.5500,120.0100,119.5500,120.0100,174,9
54000,15:00:00,119.7300,119.7300,119.3900,119.4100,364,9
55800,15:30:00,119.4100,119.5000,119.2400,119.5000,757,15
