timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,39.3800,39.3800,39.3800,39.3800,268,1
42900,11:55:00,39.1600,39.1600,39.0000,39.0000,494,7
43200,12:00:00,38.9000,38.9000,38.9000,38.9000,100,2
43500,12:05:00,39.0800,39.1500,39.0800,39.1300,423,10
47100,13:05:00,38.8900,38.8900,38.8900,38.8900,53,1
48300,13:25:00,38.8200,38.8200,38.8200,38.8200,10,3
48600,13:30:00,38.8000,38.8000,38.8000,38.8000,5,1
49200,13:40:00,38.7900,38.7900,38.7900,38.7900,1,1
50400,14:00:00,39.0200,39.2000,39.0200,39.2000,201,3
53700,14:55:00,39.3500,39.3500,39.3500,39.3500,8,1
54300,15:05:00,39.0000,39.0000,39.0000,39.0000,200,4
55500,15:25:00,39.3800,39.3800,39.3800,39.3800,95,1
56700,15:45:00,39.1500,39.1500,39.1400,39.1400,196,6
57300,15:55:00,39.1500,39.3100,38.9300,39.1200,2372,38
57600,16:00:00,39.2300,39.2300,39.2300,39.2300,4457,2
