timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,4.5500,4.5500,4.5500,4.5500,50,2
34980,09:43:00,4.5400,4.5400,4.5400,4.5400,501,1
36060,10:01:00,4.5400,4.5400,4.5400,4.5400,200,2
36360,10:06:00,4.5500,4.5500,4.5500,4.5500,63,1
36420,10:07:00,4.5600,4.5600,4.5600,4.5600,2,1
36900,10:15:00,4.5650,4.5650,4.5650,4.5650,6,1
38160,10:36:00,4.5700,4.5700,4.5700,4.5700,100,1
42060,11:41:00,4.6000,4.6000,4.6000,4.6000,1600,4
43740,12:09:00,4.6050,4.6050,4.6050,4.6050,400,2
45720,12:42:00,4.6050,4.6050,4.6050,4.6050,200,1
45960,12:46:00,4.6000,4.6000,4.6000,4.6000,200,2
51240,14:14:00,4.5900,4.5900,4.5900,4.5900,16,1
51360,14:16:00,4.6000,4.6000,4.6000,4.6000,100,1
54300,15:05:00,4.6050,4.6050,4.6000,4.6000,300,2
54600,15:10:00,4.5850,4.5850,4.5800,4.5800,1700,4
57480,15:58:00,4.5950,4.5950,4.5950,4.5950,100,1
