timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,168.0000,168.0000,168.0000,168.0000,100,2
34260,09:31:00,167.8300,167.8300,167.7300,167.7300,210,4
34320,09:32:00,167.5700,167.6900,167.5700,167.6900,341,8
34380,09:33:00,167.5000,167.5000,167.0500,167.0500,322,4
34440,09:34:00,167.0600,167.1100,167.0400,167.1100,600,6
34500,09:35:00,167.0400,167.0400,166.9100,166.9100,465,4
34560,09:36:00,166.7300,166.8600,166.7300,166.8600,106,3
34620,09:37:00,166.8700,167.0100,166.8100,166.8100,863,15
34680,09:38:00,166.7000,166.7200,166.7000,166.7200,320,4
34740,09:39:00,166.6000,166.6000,166.6000,166.6000,100,1
34800,09:40:00,166.5900,166.6000,166.5300,166.6000,341,4
34860,09:41:00,166.4800,166.4800,166.3400,166.3400,600,6
34920,09:42:00,166.3500,166.4400,166.3300,166.3400,405,7
34980,09:43:00,166.3400,166.4000,166.3300,166.3300,400,4
35160,09:46:00,166.2600,166.3300,166.2600,166.3100,518,8
35220,09:47:00,166.3700,166.4000,166.1400,166.1400,1153,15
35280,09:48:00,166.1900,166.1900,166.1400,166.1400,702,10
35340,09:49:00,166.1500,166.5300,166.1500,166.4300,702,8
35400,09:50:00,166.4900,166.5200,166.4900,166.5100,601,6
35460,09:51:00,166.5300,166.5300,166.4400,166.4900,503,10
35520,09:52:00,166.5100,166.5100,166.5100,166.5100,4,2
35640,09:54:00,166.5300,166.5300,166.5100,166.5200,103,3
35700,09:55:00,166.5200,166.5300,166.4500,166.4500,513,8
35820,09:57:00,166.4700,166.5200,166.4700,166.4800,307,6
35880,09:58:00,166.1000,166.3500,166.1000,166.3500,390,5
35940,09:59:00,166.3700,166.4600,166.3700,166.4600,300,3
36000,10:00:00,166.7200,166.7200,166.6900,166.7100,809,11
36060,10:01:00,166.6900,166.8400,166.6400,166.7500,2444,37
36120,10:02:00,166.7500,166.7600,166.6200,166.6400,939,19
36180,10:03:00,166.5300,166.6200,166.5300,166.6200,319,7
36240,10:04:00,166.6400,166.7200,166.6400,166.6700,508,5
36300,10:05:00,166.4400,166.4600,166.4200,166.4600,700,5
36360,10:06:00,166.4100,166.4700,166.4100,166.4500,1023,17
36420,10:07:00,166.4100,166.4100,166.2500,166.2500,1130,19
36480,10:08:00,166.1800,166.3100,166.1800,166.3100,307,6
36600,10:10:00,166.3800,166.3800,166.3700,166.3700,9,4
36660,10:11:00,166.4000,166.5100,166.4000,166.5100,503,8
36720,10:12:00,166.4200,166.7300,166.3900,166.7300,903,11
36780,10:13:00,166.7600,166.8700,166.7600,166.8700,23,3
36900,10:15:00,166.8100,166.8200,166.6800,166.6800,1068,18
36960,10:16:00,166.5600,166.6000,166.5600,166.5600,400,7
37020,10:17:00,166.5500,166.6000,166.5300,166.5300,1432,18
37080,10:18:00,166.5100,166.5100,166.3800,166.3800,522,9
37140,10:19:00,166.3700,166.4300,166.2600,166.4300,1093,11
37200,10:20:00,166.3800,166.4500,166.3800,166.4500,403,7
37260,10:21:00,166.4100,166.4100,166.3600,166.3600,400,4
37380,10:23:00,166.0900,166.1000,166.0900,166.1000,175,5
37440,10:24:00,166.1400,166.1400,166.0800,166.0800,400,4
37500,10:25:00,166.1000,166.1400,166.1000,166.1400,722,9
37560,10:26:00,166.1500,166.1700,166.1500,166.1700,102,2
37620,10:27:00,166.1500,166.2100,166.1000,166.1000,1062,17
37680,10:28:00,166.0200,166.0200,165.9400,166.0200,478,11
37740,10:29:00,166.0000,166.0500,166.0000,166.0500,234,5
37800,10:30:00,166.1200,166.2200,166.1200,166.2000,529,11
37860,10:31:00,166.1700,166.1700,166.1700,166.1700,100,2
37920,10:32:00,166.2800,166.2800,166.2800,166.2800,306,5
37980,10:33:00,166.2800,166.3200,166.2800,166.3200,105,2
38040,10:34:00,166.2800,166.4100,166.2600,166.4100,1212,19
38100,10:35:00,166.4700,166.5300,166.4700,166.5300,193,11
38160,10:36:00,166.4400,166.4600,166.4400,166.4600,950,20
38220,10:37:00,166.3900,166.3900,166.3100,166.3100,1197,18
38280,10:38:00,166.2500,166.3600,166.2500,166.3600,718,12
38340,10:39:00,166.4900,166.4900,166.4900,166.4900,12,1
38400,10:40:00,166.4800,166.4800,166.4000,166.4500,583,13
38460,10:41:00,166.4200,166.4200,166.3400,166.3400,938,14
38520,10:42:00,166.2900,166.2900,166.2900,166.2900,102,2
38580,10:43:00,166.3600,166.4100,166.3600,166.4100,310,6
38640,10:44:00,166.4300,166.5200,166.4300,166.5200,688,12
38700,10:45:00,166.5500,166.5600,166.5100,166.5600,619,7
38760,10:46:00,166.6200,166.6500,166.6200,166.6500,202,5
38820,10:47:00,166.5900,166.6100,166.5400,166.6100,565,7
38880,10:48:00,166.6000,166.6500,166.5900,166.6500,148,4
38940,10:49:00,166.6600,166.6600,166.5900,166.5900,891,14
39000,10:50:00,166.6100,166.6100,166.5300,166.5300,406,6
39060,10:51:00,166.5300,166.5400,166.5300,166.5400,300,3
39120,10:52:00,166.6000,166.6000,166.4800,166.4800,593,11
39180,10:53:00,166.4500,166.4500,166.3700,166.3700,1308,19
39240,10:54:00,166.3700,166.4700,166.3700,166.4700,910,14
39360,10:56:00,166.5600,166.5600,166.5600,166.5600,200,3
39420,10:57:00,166.5800,166.5800,166.4600,166.4600,1313,16
39480,10:58:00,166.4600,166.4900,166.4600,166.4800,587,11
39540,10:59:00,166.4800,166.4900,166.4800,166.4900,200,2
39600,11:00:00,166.5900,166.6100,166.5600,166.6100,405,9
39660,11:01:00,166.6400,166.8500,166.6400,166.8300,1209,18
39720,11:02:00,166.8600,166.8600,166.8600,166.8600,358,5
39780,11:03:00,166.7200,166.7900,166.7200,166.7900,712,13
39840,11:04:00,166.8200,166.8600,166.7500,166.7500,211,7
40020,11:07:00,166.8000,166.8000,166.7600,166.8000,1009,14
40080,11:08:00,166.7500,166.8000,166.7400,166.8000,702,10
40140,11:09:00,166.8500,166.8500,166.8100,166.8100,400,4
40200,11:10:00,166.7500,166.7700,166.7500,166.7700,286,4
40260,11:11:00,166.6700,166.7800,166.6700,166.7800,201,4
