timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,7.9400,7.9400,7.8400,7.8400,1639,4
34500,09:35:00,7.8300,7.8300,7.8000,7.8200,2114,18
34800,09:40:00,7.8200,7.8200,7.7800,7.8000,2301,6
36600,10:10:00,7.8500,7.8500,7.8500,7.8500,200,1
37200,10:20:00,7.8400,7.8900,7.8400,7.8900,1202,5
37800,10:30:00,7.8900,7.8900,7.8900,7.8900,100,1
38400,10:40:00,7.8800,7.8900,7.8800,7.8900,105,2
38700,10:45:00,7.8700,7.8700,7.7800,7.7800,2587,12
39300,10:55:00,7.7800,7.7800,7.7800,7.7800,50,1
39900,11:05:00,7.7800,7.7800,7.7800,7.7800,283,4
40800,11:20:00,7.7800,7.7800,7.7800,7.7800,1267,8
41100,11:25:00,7.7800,7.7800,7.7800,7.7800,100,1
41700,11:35:00,7.7800,7.7800,7.7800,7.7800,300,3
42600,11:50:00,7.7800,7.7800,7.7700,7.7700,400,3
42900,11:55:00,7.7600,7.7600,7.7600,7.7600,600,2
43200,12:00:00,7.7600,7.7600,7.7600,7.7600,1600,4
44400,12:20:00,7.7700,7.7700,7.7600,7.7600,2600,4
47100,13:05:00,7.7900,7.7900,7.7900,7.7900,245,3
48900,13:35:00,7.7850,7.8000,7.7850,7.8000,107,2
49200,13:40:00,7.8000,7.8000,7.7700,7.7700,143,2
50400,14:00:00,7.7800,7.7800,7.7800,7.7800,100,1
50700,14:05:00,7.7800,7.7900,7.7800,7.7900,1100,4
51600,14:20:00,7.8000,7.8000,7.8000,7.8000,130,2
52200,14:30:00,7.8000,7.8000,7.8000,7.8000,8,1
53700,14:55:00,7.7900,7.7900,7.7900,7.7900,200,2
54000,15:00:00,7.7800,7.7800,7.7300,7.7500,6744,26
54900,15:15:00,7.7500,7.7500,7.7500,7.7500,169,2
55200,15:20:00,7.7500,7.7500,7.7500,7.7500,1230,16
55500,15:25:00,7.7700,7.7700,7.7700,7.7700,400,4
55800,15:30:00,7.7800,7.7800,7.7800,7.7800,287,5
56100,15:35:00,7.7900,7.8000,7.7900,7.7950,639,4
56400,15:40:00,7.7900,7.7900,7.7800,7.7800,4157,4
56700,15:45:00,7.7700,7.7700,7.7500,7.7600,3752,9
57000,15:50:00,7.7800,7.7800,7.7500,7.7600,2763,12
57600,16:00:00,7.8000,7.8000,7.8000,7.8000,538,1
