timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,3.4900,3.5000,3.4900,3.5000,2383,3
35100,09:45:00,3.4900,3.4900,3.4800,3.4800,301,4
36000,10:00:00,3.4800,3.4800,3.4000,3.4500,1120,13
36900,10:15:00,3.4900,3.4900,3.4900,3.4900,100,1
39600,11:00:00,3.5000,3.5000,3.5000,3.5000,100,1
40500,11:15:00,3.4500,3.4500,3.4200,3.4500,403,5
42300,11:45:00,3.4500,3.4500,3.4500,3.4500,100,1
43200,12:00:00,3.4100,3.4500,3.3300,3.3400,11477,55
45000,12:30:00,3.3400,3.3500,3.3400,3.3500,950,7
45900,12:45:00,3.3500,3.4300,3.3500,3.4300,700,7
46800,13:00:00,3.4300,3.4300,3.4300,3.4300,400,4
47700,13:15:00,3.4300,3.4300,3.3800,3.4000,202,3
48600,13:30:00,3.4200,3.4200,3.3700,3.3700,1301,12
49500,13:45:00,3.4300,3.4300,3.4200,3.4200,200,2
50400,14:00:00,3.4500,3.4500,3.4500,3.4500,200,1
51300,14:15:00,3.4500,3.4500,3.4400,3.4400,600,5
52200,14:30:00,3.4200,3.4200,3.3800,3.3800,600,5
53100,14:45:00,3.3600,3.3900,3.3200,3.3200,1204,13
54000,15:00:00,3.3700,3.3700,3.2300,3.2400,9321,23
54900,15:15:00,3.2200,3.2500,3.2000,3.2500,8102,10
55800,15:30:00,3.3600,3.3700,3.1200,3.1200,4501,25
56700,15:45:00,3.2100,3.3000,2.7900,2.9200,185822,199
57600,16:00:00,2.9500,2.9500,2.9500,2.9500,12591,11
71100,19:45:00,3.1000,3.1000,3.1000,3.1000,100,1
