timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,126.9700,127.0000,126.9700,127.0000,109,4
36000,10:00:00,127.5000,127.9700,127.5000,127.9700,48,3
39600,11:00:00,127.7400,127.7400,127.7400,127.7400,100,1
43200,12:00:00,127.6900,127.9900,127.6900,127.9900,470,4
45000,12:30:00,127.9700,128.5000,127.9700,128.5000,201,4
46800,13:00:00,127.9600,127.9700,127.9600,127.9700,200,3
48600,13:30:00,127.9700,127.9700,127.9700,127.9700,77,1
50400,14:00:00,128.0000,128.0000,128.0000,128.0000,124,3
52200,14:30:00,127.8000,128.1500,127.7800,128.1500,420,6
54000,15:00:00,128.8300,128.8300,128.8300,128.8300,4,1
55800,15:30:00,128.5300,128.6400,128.2700,128.2700,299,8
