timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,1.4400,1.4700,1.4000,1.4000,842,8
35100,09:45:00,1.4400,1.4400,1.4200,1.4200,200,2
36000,10:00:00,1.4000,1.4000,1.3900,1.3900,11766,7
40500,11:15:00,1.4000,1.4000,1.4000,1.4000,700,3
41400,11:30:00,1.4000,1.4000,1.4000,1.4000,1300,2
43200,12:00:00,1.4300,1.4300,1.4300,1.4300,576,2
47700,13:15:00,1.4200,1.4200,1.4200,1.4200,700,2
56700,15:45:00,1.4100,1.4200,1.4100,1.4200,1900,10
57600,16:00:00,1.4400,1.4400,1.4400,1.4400,61,1
63000,17:30:00,1.5300,1.5300,1.5300,1.5300,150,1
69300,19:15:00,1.5300,1.5300,1.5300,1.5300,350,1
