timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,13.3300,13.4800,13.2500,13.2500,3131,22
36000,10:00:00,13.2000,13.3000,13.2000,13.2800,942,20
37800,10:30:00,13.3100,13.3700,13.2000,13.2200,1560,29
39600,11:00:00,13.1900,13.2100,13.1200,13.1200,1544,24
41400,11:30:00,13.1200,13.1900,13.1000,13.1000,3268,37
43200,12:00:00,13.1100,13.1400,13.0300,13.1100,6462,71
45000,12:30:00,13.1050,13.2000,13.0800,13.2000,2414,53
46800,13:00:00,13.1800,13.1900,13.0700,13.0700,5146,47
48600,13:30:00,13.0700,13.0700,12.9800,12.9800,5249,56
50400,14:00:00,12.9800,13.1700,12.9800,13.0800,5892,70
52200,14:30:00,13.0600,13.0950,13.0300,13.0300,5526,99
54000,15:00:00,13.0200,13.0500,12.9900,13.0300,11457,135
55800,15:30:00,13.0250,13.0550,12.9850,13.0000,23288,328
57600,16:00:00,13.0100,13.0100,13.0100,13.0100,20846,2
