timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,7.4500,7.4500,7.4500,7.4500,825,1
36360,10:06:00,7.4800,7.4800,7.4500,7.4500,236,2
40560,11:16:00,7.4300,7.4300,7.4300,7.4300,80,1
41220,11:27:00,7.3800,7.3800,7.3800,7.3800,100,2
41340,11:29:00,7.3500,7.3500,7.3500,7.3500,5,1
42240,11:44:00,7.3500,7.3500,7.3500,7.3500,284,2
44100,12:15:00,7.3200,7.3200,7.3200,7.3200,69,1
44400,12:20:00,7.3400,7.3400,7.3400,7.3400,5,1
45060,12:31:00,7.3400,7.3400,7.3400,7.3400,5,1
45480,12:38:00,7.3400,7.3400,7.3400,7.3400,5,1
45960,12:46:00,7.3200,7.3200,7.3200,7.3200,5,1
46140,12:49:00,7.3200,7.3200,7.3200,7.3200,26,1
49440,13:44:00,7.3100,7.3100,7.3100,7.3100,210,2
51540,14:19:00,7.3500,7.3500,7.3500,7.3500,900,2
57540,15:59:00,7.3200,7.3200,7.3200,7.3200,13,2
57600,16:00:00,7.3200,7.3200,7.3200,7.3200,117,1
