timestamp,time,open,high,low,close,volume,trades
21600,06:00:00,20.9800,21.0100,20.9500,20.9500,3900,4
25200,07:00:00,20.8800,20.8800,20.8800,20.8800,100,1
27000,07:30:00,20.8700,20.8700,20.8000,20.8100,4790,7
28800,08:00:00,20.8500,20.8600,20.8500,20.8600,900,2
30600,08:30:00,20.7400,20.9500,20.7400,20.9500,541,4
32400,09:00:00,20.7700,20.9600,20.7200,20.7500,9804,16
34200,09:30:00,20.7200,20.8800,20.6600,20.8400,74896,235
36000,10:00:00,20.8300,20.9100,20.7600,20.8500,31456,177
37800,10:30:00,20.8300,20.8300,20.3400,20.3700,73491,331
39600,11:00:00,20.3600,20.3600,20.1000,20.3000,51337,203
41400,11:30:00,20.2800,20.2800,20.0300,20.0700,30495,112
43200,12:00:00,20.0500,20.1500,20.0100,20.0700,21356,86
45000,12:30:00,20.0700,20.1700,20.0700,20.1700,13369,59
46800,13:00:00,20.1600,20.2800,20.1600,20.2800,12337,63
48600,13:30:00,20.2800,20.4000,20.2700,20.4000,10517,71
50400,14:00:00,20.3500,20.5800,20.1900,20.5300,60281,330
52200,14:30:00,20.4800,20.6300,20.4800,20.5000,14381,74
54000,15:00:00,20.5100,20.6000,20.5000,20.6000,7549,54
55800,15:30:00,20.5600,20.5600,20.5000,20.5000,13633,82
59400,16:30:00,20.5100,20.5400,20.5100,20.5400,1400,2
