timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,2.8000,2.8000,2.8000,2.8000,294,1
34560,09:36:00,2.7900,2.7900,2.7900,2.7900,2,1
37320,10:22:00,2.8500,2.8500,2.8500,2.8500,2500,3
40020,11:07:00,2.8200,2.8300,2.8200,2.8300,800,5
42240,11:44:00,2.8300,2.8300,2.8300,2.8300,585,3
46200,12:50:00,2.8500,2.9000,2.8500,2.9000,501,6
46260,12:51:00,2.9000,2.9100,2.9000,2.9100,38,2
46440,12:54:00,2.9100,2.9100,2.9100,2.9100,500,1
48780,13:33:00,2.8200,2.8200,2.8100,2.8100,100,2
51540,14:19:00,2.8100,2.8100,2.8100,2.8100,100,1
54060,15:01:00,2.8100,2.8100,2.8100,2.8100,100,1
55080,15:18:00,2.9100,2.9100,2.9100,2.9100,400,1
57600,16:00:00,2.8000,2.8000,2.8000,2.8000,6,2
