timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,5.2600,5.3500,5.2600,5.3500,5583,7
35100,09:45:00,5.4200,5.4500,5.4100,5.4100,2644,12
36000,10:00:00,5.3400,5.3400,5.3100,5.3200,460,5
36900,10:15:00,5.3200,5.3400,5.3200,5.3400,910,9
37800,10:30:00,5.3600,5.3600,5.3500,5.3500,1000,5
39600,11:00:00,5.3400,5.3400,5.3400,5.3400,50,1
40500,11:15:00,5.3500,5.3500,5.3400,5.3500,971,9
41400,11:30:00,5.3600,5.3600,5.3600,5.3600,300,3
42300,11:45:00,5.3900,5.3900,5.3900,5.3900,100,1
43200,12:00:00,5.3600,5.3600,5.3500,5.3500,275,8
44100,12:15:00,5.3400,5.3400,5.3400,5.3400,250,2
45000,12:30:00,5.3400,5.3400,5.1100,5.1400,3766,27
45900,12:45:00,5.1400,5.1900,5.1300,5.1500,2330,23
46800,13:00:00,5.1600,5.1600,5.1600,5.1600,40,1
47700,13:15:00,5.2300,5.2300,5.2300,5.2300,380,2
48600,13:30:00,5.2300,5.2300,5.1550,5.1700,1356,16
49500,13:45:00,5.2000,5.2000,5.2000,5.2000,200,1
50400,14:00:00,5.2100,5.2100,5.2100,5.2100,138,3
51300,14:15:00,5.2000,5.2000,5.2000,5.2000,549,5
52200,14:30:00,5.2300,5.2300,5.2150,5.2200,2172,13
53100,14:45:00,5.2200,5.2200,5.1700,5.1900,2469,22
54000,15:00:00,5.1700,5.1700,5.1700,5.1700,100,1
54900,15:15:00,5.1550,5.1600,5.1550,5.1600,300,3
55800,15:30:00,5.1500,5.1600,5.1000,5.1000,8151,27
56700,15:45:00,5.1050,5.1050,4.8700,4.9500,12979,74
57600,16:00:00,4.9600,4.9600,4.9600,4.9600,1589,1
59400,16:30:00,4.9600,4.9600,4.9600,4.9600,73,1
69300,19:15:00,4.9300,4.9300,4.8800,4.8800,600,3
