timestamp,time,open,high,low,close,volume,trades
36420,10:07:00,2.1900,2.1900,2.1600,2.1600,500,3
37920,10:32:00,2.1700,2.1700,2.1200,2.1200,710,6
39660,11:01:00,2.1300,2.1300,2.1300,2.1300,700,3
41940,11:39:00,2.1200,2.1200,2.1000,2.1000,148,2
42000,11:40:00,2.1000,2.1000,2.0900,2.0900,152,2
43560,12:06:00,2.1000,2.1000,2.1000,2.1000,100,1
46200,12:50:00,2.1200,2.1200,2.1200,2.1200,100,1
48180,13:23:00,2.1200,2.1200,2.1200,2.1200,100,1
49500,13:45:00,2.0300,2.0300,2.0200,2.0200,600,6
53400,14:50:00,2.1000,2.1000,2.1000,2.1000,100,1
56040,15:34:00,2.1000,2.1000,2.1000,2.1000,100,1
57540,15:59:00,2.1000,2.1000,2.1000,2.1000,74,1
