timestamp,time,open,high,low,close,volume,trades
28800,08:00:00,136.3500,136.3500,136.3500,136.3500,10,1
32400,09:00:00,137.0100,137.0100,136.9900,136.9900,300,2
34200,09:30:00,137.0000,138.1500,136.2200,136.2200,16949,191
36000,10:00:00,136.4100,137.1600,135.4800,137.0200,13440,173
37800,10:30:00,137.0700,137.7500,136.9100,137.7100,7041,121
39600,11:00:00,137.6700,138.3900,137.3600,137.4200,9580,161
41400,11:30:00,137.3200,139.5300,137.1100,139.2800,18127,205
43200,12:00:00,139.3000,139.3600,138.4300,138.4300,9264,207
45000,12:30:00,138.3200,138.4500,138.1400,138.2700,6003,124
46800,13:00:00,138.2400,138.2500,137.7200,137.8900,5003,124
48600,13:30:00,137.8900,138.5500,137.8000,138.1200,6650,193
50400,14:00:00,138.2200,141.5900,138.2200,140.4000,46934,656
52200,14:30:00,140.4600,140.8400,139.3200,140.2300,18989,393
54000,15:00:00,140.1600,140.4000,139.3600,139.8700,11494,339
55800,15:30:00,139.8600,140.1000,139.2300,140.1000,29425,622
57600,16:00:00,140.0500,140.0500,140.0500,140.0500,31400,1
59400,16:30:00,140.4000,140.4000,140.4000,140.4000,100,1
