timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,1.1600,1.1600,1.1500,1.1500,978,6
35100,09:45:00,1.1500,1.1500,1.1100,1.1100,17928,21
36000,10:00:00,1.1100,1.1200,1.1100,1.1200,2973,33
36900,10:15:00,1.1300,1.1300,1.1300,1.1300,407,5
37800,10:30:00,1.1400,1.1400,1.1400,1.1400,295,3
38700,10:45:00,1.1400,1.1400,1.1400,1.1400,1413,11
39600,11:00:00,1.1400,1.1400,1.1400,1.1400,3300,22
40500,11:15:00,1.1400,1.1450,1.1400,1.1450,379,2
41400,11:30:00,1.1450,1.1500,1.1450,1.1500,8114,25
42300,11:45:00,1.1450,1.1450,1.1400,1.1400,300,3
43200,12:00:00,1.1450,1.1450,1.1450,1.1450,100,1
44100,12:15:00,1.1450,1.1450,1.1450,1.1450,100,1
45000,12:30:00,1.1400,1.1400,1.1400,1.1400,8,1
45900,12:45:00,1.1400,1.1400,1.1400,1.1400,892,6
46800,13:00:00,1.1400,1.1400,1.1300,1.1300,112,4
47700,13:15:00,1.1300,1.1300,1.1250,1.1250,4082,10
48600,13:30:00,1.1250,1.1350,1.1250,1.1350,1304,13
49500,13:45:00,1.1400,1.1400,1.1400,1.1400,1721,13
50400,14:00:00,1.1400,1.1400,1.1400,1.1400,704,6
52200,14:30:00,1.1450,1.1450,1.1450,1.1450,100,1
53100,14:45:00,1.1500,1.1900,1.1500,1.1800,7653,29
54000,15:00:00,1.1700,1.1700,1.1700,1.1700,200,2
54900,15:15:00,1.1750,1.1750,1.1750,1.1750,100,1
55800,15:30:00,1.1800,1.1800,1.1700,1.1700,208,6
56700,15:45:00,1.1750,1.1800,1.1650,1.1700,8462,35
57600,16:00:00,1.1800,1.1800,1.1800,1.1800,27764,6
