timestamp,time,open,high,low,close,volume,trades
34200,09:30:00,162.8300,162.8300,162.7800,162.7800,800,6
37800,10:30:00,162.7300,162.7300,162.7200,162.7200,14,2
39600,11:00:00,162.8000,162.9400,162.5500,162.5500,221,6
41400,11:30:00,162.5000,162.5000,162.5000,162.5000,60,1
43200,12:00:00,162.7700,163.0000,162.7700,163.0000,240,6
45000,12:30:00,163.0100,163.0100,163.0100,163.0100,200,1
48600,13:30:00,162.6000,162.6000,162.6000,162.6000,30,1
50400,14:00:00,162.5200,164.2100,162.4900,163.9600,3699,26
52200,14:30:00,163.9600,164.6000,163.8500,164.6000,776,7
54000,15:00:00,163.9400,164.0000,163.9400,163.9700,550,4
55800,15:30:00,163.8900,164.0300,163.7000,164.0300,2900,16
