timestamp,time,open,high,low,close,volume,trades
35100,09:45:00,136.6700,136.6700,136.6700,136.6700,30,1
37800,10:30:00,137.0100,137.0100,137.0100,137.0100,1,1
41700,11:35:00,137.0900,137.0900,137.0900,137.0900,26,1
44100,12:15:00,137.4700,137.4700,137.4700,137.4700,100,1
45600,12:40:00,137.1900,137.1900,137.1900,137.1900,100,1
50400,14:00:00,137.4900,137.4900,137.4900,137.4900,100,1
50700,14:05:00,137.7000,137.7000,137.7000,137.7000,5,1
51000,14:10:00,137.6500,137.6500,137.6300,137.6300,100,3
51300,14:15:00,138.0300,138.0300,138.0300,138.0300,100,1
52500,14:35:00,137.9300,137.9300,137.9000,137.9000,200,6
53400,14:50:00,138.3900,138.3900,138.3900,138.3900,100,1
53700,14:55:00,138.5200,138.5200,138.5200,138.5200,100,1
54000,15:00:00,138.4500,138.4900,138.2900,138.2900,1600,16
54600,15:10:00,138.1600,138.1600,138.0600,138.0600,300,3
54900,15:15:00,138.1000,138.1000,138.1000,138.1000,32,1
55500,15:25:00,137.9600,137.9600,137.9600,137.9600,32,1
56400,15:40:00,137.7100,137.7100,137.6600,137.6600,614,7
