timestamp,time,open,high,low,close,volume,trades
30600,08:30:00,165.2600,165.2600,165.2600,165.2600,56,1
34200,09:30:00,165.1200,165.8300,165.0000,165.0500,17125,221
36000,10:00:00,165.0000,165.6300,164.8500,165.5900,25077,259
37800,10:30:00,165.6300,165.9000,165.5350,165.5350,10708,163
39600,11:00:00,165.5900,166.0000,165.5500,165.6200,14230,174
41400,11:30:00,165.6500,166.1300,165.5600,165.9800,5566,101
43200,12:00:00,166.0600,166.5900,165.9700,166.3800,4972,98
45000,12:30:00,166.4000,166.4600,166.1300,166.4100,6135,123
46800,13:00:00,166.3700,166.4400,166.1900,166.3600,7914,135
48600,13:30:00,166.3300,166.6700,165.9000,166.0900,11901,213
50400,14:00:00,166.0500,168.2000,166.0300,167.9300,11014,237
52200,14:30:00,167.8500,168.8200,167.8000,168.3800,10720,309
54000,15:00:00,168.4500,168.4500,167.8200,168.0000,12712,244
55800,15:30:00,167.9800,168.3100,167.8300,168.2400,27030,492
57600,16:00:00,168.2500,168.2500,168.2500,168.2500,54653,1
59400,16:30:00,168.4900,168.4900,168.4900,168.4900,29,4
66600,18:30:00,168.4900,169.3800,168.4900,169.3800,14,6
