timestamp,time,open,high,low,close,volume,trades
20700,05:45:00,0.1240,0.1240,0.1240,0.1240,1,1
21000,05:50:00,0.1240,0.1248,0.1240,0.1248,100,2
32700,09:05:00,0.1140,0.1146,0.1140,0.1146,9,2
33900,09:25:00,0.1146,0.1146,0.1146,0.1146,50,1
34200,09:30:00,0.1112,0.1112,0.1112,0.1112,500,4
35400,09:50:00,0.1113,0.1113,0.1110,0.1110,308,2
35700,09:55:00,0.1110,0.1110,0.1110,0.1110,3350,2
36600,10:10:00,0.1107,0.1107,0.1101,0.1101,1559,2
36900,10:15:00,0.1101,0.1101,0.1101,0.1101,410,1
37500,10:25:00,0.1102,0.1102,0.1102,0.1102,14,1
39600,11:00:00,0.1110,0.1110,0.1110,0.1110,500,2
43200,12:00:00,0.1123,0.1160,0.1123,0.1160,40150,21
43500,12:05:00,0.1124,0.1124,0.1124,0.1124,1000,1
45300,12:35:00,0.1133,0.1133,0.1133,0.1133,1,1
45600,12:40:00,0.1132,0.1132,0.1132,0.1132,378,1
46200,12:50:00,0.1132,0.1132,0.1132,0.1132,100,1
47100,13:05:00,0.1147,0.1147,0.1133,0.1133,100,2
48000,13:20:00,0.1146,0.1146,0.1101,0.1101,2101,8
48300,13:25:00,0.1111,0.1111,0.1100,0.1100,1577,5
49800,13:50:00,0.1110,0.1110,0.1110,0.1110,100,1
53100,14:45:00,0.1120,0.1120,0.1120,0.1120,200,1
53400,14:50:00,0.1111,0.1111,0.1105,0.1110,6338,7
56400,15:40:00,0.1107,0.1107,0.1107,0.1107,89,1
57600,16:00:00,0.1130,0.1130,0.1130,0.1130,723,4
57900,16:05:00,0.1107,0.1130,0.1107,0.1130,301,2
58500,16:15:00,0.1130,0.1130,0.1130,0.1130,80,1
59100,16:25:00,0.1130,0.1130,0.1130,0.1130,50,1
60000,16:40:00,0.1130,0.1130,0.1130,0.1130,8,1
60600,16:50:00,0.1130,0.1130,0.1130,0.1130,1,1
60900,16:55:00,0.1130,0.1130,0.1130,0.1130,1,1
61200,17:00:00,0.1130,0.1130,0.1130,0.1130,2,1
61800,17:10:00,0.1130,0.1130,0.1130,0.1130,3,1
62100,17:15:00,0.1108,0.1108,0.1108,0.1108,9,1
62400,17:20:00,0.1130,0.1130,0.1130,0.1130,31,3
63300,17:35:00,0.1130,0.1130,0.1130,0.1130,2,1
63600,17:40:00,0.1130,0.1130,0.1130,0.1130,25,1
63900,17:45:00,0.1130,0.1130,0.1130,0.1130,1,1
